id,p_mean,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,dams_num,aquitard_perc,aquifer_perc,aquifer_aquitard_mixed_perc,kf_very_high_perc,kf_high_perc,kf_medium_perc,kf_moderate_perc,kf_low_perc,kf_very_low_perc,kf_extremely_low_perc,kf_very_high_to_high_perc,kf_medium_to_moderate_perc,kf_low_to_extremely_low_perc,kf_highly_variable_perc,kf_moderate_to_low_perc,cavity_fissure_perc,cavity_pores_perc,cavity_fissure_karst_perc,cavity_fissure_pores_perc,rocktype_sediment_perc,rocktype_metamorphite_perc,rocktype_magmatite_perc,consolidation_solid_rock_perc,consolidation_unconsolidated_rock_perc,geochemical_rocktype_silicate_perc,geochemical_rocktype_silicate_carbonatic_perc,geochemical_rocktype_carbonatic_perc,geochemical_rocktype_sulfatic_perc,geochemical_rocktype_silicate_organic_components_perc,geochemical_rocktype_anthropogenically_modified_through_filling_perc,geochemical_rocktype_sulfatic_halitic_perc,geochemical_rocktype_halitic_perc,waterbody_perc,no_data_perc,q_mean,runoff_ratio,flow_perc_complete,slope_fdc,hfd_mean,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,artificial_surfaces_perc,agricultural_areas_perc,forests_and_seminatural_areas_perc,wetlands_perc,water_bodies_perc,training_perc_complete,validation_perc_complete,testing_perc_complete,clay_0_30cm_mean,clay_30_100cm_mean,clay_100_200cm_mean,silt_0_30cm_mean,silt_30_100cm_mean,silt_100_200cm_mean,sand_0_30cm_mean,sand_30_100cm_mean,sand_100_200cm_mean,coarse_fragments_0_30cm_mean,coarse_fragments_30_100cm_mean,coarse_fragments_100_200cm_mean,bulk_density_0_30cm_mean,bulk_density_30_100cm_mean,bulk_density_100_200cm_mean,soil_organic_carbon_0_30cm_mean,soil_organic_carbon_30_100cm_mean,soil_organic_carbon_100_200cm_mean,gauge_lat,gauge_lon,gauge_easting,gauge_northing,area_metadata,gauge_elev,area,elev_mean,elev_min,elev_5,elev_50,elev_95,elev_max
DE110130,2.84,0.36,0.08,17.75,1.16,223.38,3.77,2,9.32,81.69,8.98,0,81.69,0,0,0,0,0,0,0,9.32,0,8.98,0,100,0,0,100,0,0,0,100,0,86.72,13.28,0,0,0,0,0,0,0,1.31,0.46,85.951,0.81,178.15,0.66,2.97,0.36,1.11,0.03,2,0,2.03,62.84,35.13,0,0,100,100,100,24.8,24.25,22.15,39.79,39.11,40.9,33.7,34.92,35.23,10.61,14.72,18.51,1.22,1.48,1.54,45.17,15.36,11.87,48.067066,10.048512,4324617,2772611,129.15,569.73,131.66,677.49,566.91,594.77,680.81,742.86,791.11
DE110140,2.41,0.26,0.1,18,1.16,226.92,3.9,0,74.51,1.96,23.53,0,0,0,0,7.01,0,24.2,0,1.96,43.3,0,23.53,74.51,0,25.49,0,100,0,0,100,0,0,74.51,25.49,0,0,0,0,0,0,0,0.94,0.39,90.238,2.46,164.16,0.15,2.88,2.94,1.78,33.08,8.01,0,8.84,42.82,47.57,0.78,0,100,100,100,29.51,30.2,30.68,42.71,42.04,41.09,22.46,22.45,22.91,15.87,20.03,21.94,1.09,1.39,1.45,40.43,12.28,9.56,47.988378,8.795632,4231059,2764598,80.65,649.45,83.59,780.36,648.11,676.66,757.89,932.84,1001.93
DE110150,2.92,0,0.11,15.44,1.18,207.51,3.65,3,63.6,9.99,26.41,0,0.1,1.95,5.62,25.39,16.02,4.48,0,2.31,17.71,0,26.41,64.5,10.62,24.88,0,76.55,16.02,7.43,89.38,10.62,41.79,33.12,21.21,3.88,0,0,0,0,0,0,0.9,0.31,67.139,5.9,139.31,0.01,3.47,32.6,5.6,164.09,26.28,0.04,7.76,42.28,49.6,0.21,0.15,88.87,0,100,29.06,29.68,29.85,40.92,40.33,39.56,25.14,25.11,25.71,15.94,19.35,21.53,1.08,1.37,1.43,44.68,14.27,10.46,47.9586,8.776617,4229586,2761313,862.6,644.75,868.84,819.3,644.75,680.64,793.17,1031.14,1159.79
DE110160,2.67,0.2,0.11,15.87,1.13,208.75,3.77,0,13.34,64.37,22.29,0,0,1.21,0,13.34,0,0,0,63.16,0,0,22.29,10.7,1.21,88.09,0,100,0,0,98.79,1.21,0,11.91,88.09,0,0,0,0,0,0,0,0.82,0.31,66.352,2.33,164.68,0.12,2.29,1.2,2.79,35.64,13.07,0,6.12,64.71,29.17,0,0,86.99,0,100,34.1,35.08,36.2,49.53,48.36,47.6,12.58,12.77,12.42,15.3,21.82,23.92,1.16,1.42,1.46,46.09,15.92,12.64,48.29404,9.197258,4261410,2798160,91.7,681.65,90.88,788.48,679.56,722.82,789.5,856.27,922.96
DE110170,1.92,0.07,0.05,18.5,1.18,245.09,4.32,0,22.62,45.25,32.12,0,0,0,45.25,22.62,0,0,0,0,0,0,32.12,7.4,0,92.6,0,100,0,0,100,0,0,7.4,69.98,22.62,0,0,0,0,0,0,0.55,0.28,90.238,1.79,178.42,0.17,1.31,0.58,1.71,4.71,13.27,0,2.73,68.29,28.98,0,0,100,100,100,33.14,33.15,33.33,50.45,48.84,48.05,14.72,16.33,16.93,14.62,21.81,25.47,1.31,1.51,1.54,27.22,4.97,3.33,49.615623,9.623949,4293819,2944833,59.14,206.67,59.36,344.23,205.08,259.13,349.38,406.87,458.01
DE110180,1.99,0.05,0.05,18.22,1.19,243.11,4.29,0,24.94,34.1,40.96,0,0,0,34.1,24.94,0,0,0,0,0,0,40.96,13.08,0,86.92,0,100,0,0,100,0,2.68,10.41,64.66,22.26,0,0,0,0,0,0,0.61,0.31,74.515,2.25,166.63,0.15,1.67,1.55,2.08,8.63,5.43,0,2.38,57.34,40.28,0,0,100,38.28,99.97,32.81,31.65,31.53,49.21,48.45,47.97,16.25,18.18,18.79,14.52,22.44,26.7,1.3,1.53,1.55,27.93,5.1,3.32,49.525241,9.70704,4299786,2934755,109.67,207.91,108.53,339.53,204.29,246.55,349.07,400,437.31
DE110190,1.98,0.1,0.06,17.53,1.19,239.28,4.23,0,29.14,12.57,58.29,0,0,0,12.57,29.14,0,0,0,0,0,0.79,57.51,63.88,0.13,35.99,0,100,0,0,99.87,0.13,10.42,41.22,16.03,32.33,0,0,0,0,0,0,0.66,0.33,89.28,2.65,150.19,0.08,2.3,13.71,2.44,60.4,8.12,0,3.53,78.22,18.25,0,0,100,100,99.96,31.89,32.53,33.65,45.02,43.1,41.44,20.06,21.33,21.88,11.7,15.82,19.32,1.32,1.52,1.54,21.08,4.68,3.31,49.453826,10.070477,4326110,2926774,285.89,280.47,284.73,431.77,279.92,379.54,429.67,489.62,564.68
DE110200,1.95,0.09,0.05,17.07,1.2,238.42,4.19,5,13.6,31.61,54.79,0,0,0,31.61,13.56,0.04,0,0,0,0,0.24,54.54,52.31,0.14,47.55,0,100,0,0,99.86,0.14,4.09,41.55,38.42,15.94,0,0,0,0,0,0,0.54,0.28,64.522,2.17,155.75,0.11,1.57,5.11,2.12,17.23,5.97,0,3.63,76.09,20.28,0,0,82.62,0,99.99,30.93,30.83,31.54,48.13,46.62,45.43,17.78,19.4,19.88,12.1,17.04,20.58,1.33,1.51,1.53,21.05,4.47,3.03,49.498419,9.767891,4304183,2931757,1017,203.42,1023.82,381.7,199.3,281.44,383.91,473.37,564.68
DE110210,2.01,0.02,0.05,18.03,1.2,241.06,4.22,0,29.81,36.08,34.12,0,0,0,36.08,29.81,0,0,0,0,0,0,34.12,32.44,0,67.56,0,100,0,0,100,0,18.95,13.5,55.88,11.68,0,0,0,0,0,0,0.68,0.34,54.165,1.67,164.84,0.22,1.67,1.59,1.48,0.03,1,0,5.1,61.38,33.52,0,0,57.82,0,100,32.3,32.35,32.64,48.59,47.23,46.48,15.7,17.01,17.47,13.68,19.88,23.61,1.26,1.47,1.5,26.99,4.99,3.25,49.617222,9.449523,4281214,2945091,105.72,251.61,104.65,375.83,248.59,302.19,379.61,431.43,477.95
DE110220,4.2,0.22,0.08,17.71,1.19,211.07,3.68,0,5.76,24.49,69.75,0,24.49,0,0,0,0,0,0,0,5.76,0,69.75,0,100,0,0,100,0,0,0,100,0,75.51,24.49,0,0,0,0,0,0,0,2.45,0.58,35.955,2.36,161.17,0.39,8.52,11.46,1.58,40.54,6.01,0,1.05,79.85,19.07,0.03,0,14.25,0,100,23.69,23.08,22.83,41.73,39.76,39.82,33.7,36.28,36.48,10.38,13.4,15.72,1.15,1.37,1.45,54.55,18.04,14.42,47.684279,9.900031,4313489,2730078,29.77,588.3,29.39,669.58,583,614.62,672.45,714.69,763.95
DE110250,3.65,-0.06,0.17,16.04,1.2,208.83,3.63,0,98.07,0.44,1.49,0,0.44,0,0,0.37,97.7,0,0,0,0,0,1.49,98.1,1.9,0,0,1.93,97.7,0.37,98.1,1.9,98.1,1.47,0.44,0,0,0,0,0,0,0,2.55,0.7,100,2.01,158.99,0.51,7.54,2.3,2.48,18.43,6.49,0,0.08,49.53,50.39,0,0,100,100,100,21.38,21.01,20.47,34.52,33.67,33.52,44.07,45.28,45.98,19.57,23.95,25.84,0.99,1.31,1.39,60.41,19.45,13.01,47.925221,8.191595,4185792,2758501,47.31,834.03,47.08,993.66,828.73,869.06,997.63,1116.2,1204.8
DE110260,3.12,-0.08,0.12,18.55,1.27,220.81,3.95,0,56.47,33.45,10.08,0,0,0,33.45,5.75,18.95,0,0,0,31.77,0,10.08,83.57,2.51,13.92,0,45.84,18.95,35.21,97.49,2.51,83.57,2.51,11.61,2.31,0,0,0,0,0,0,1.53,0.49,99.738,2.64,141.56,0.23,5.13,10.63,2.66,40.54,7.95,0,1.68,15.95,82.37,0,0,100,100,99.99,26.29,26.22,25.12,39.66,38.35,38.13,32.94,34.31,35.64,15.2,18.47,20.68,1.04,1.41,1.5,52.54,15.66,10.18,47.749695,8.343761,4196742,2738733,50.17,624.42,50.01,868.04,623.22,709.76,857.21,1054.31,1100.49
DE110270,4.76,-0.21,0.18,16.7,1.29,197.33,3.69,0,75.81,1.71,22.48,0,0.23,1.48,0,2.54,17.14,0,0,0,56.13,0,22.48,75.34,24.66,0,0,28.66,13.81,57.53,75.34,24.66,71.34,27.29,0.23,0,1.14,0,0,0,0,0,3.48,0.73,83.925,2.53,154.81,0.47,11.72,7.03,2.3,46.19,7.7,0,2.23,22.73,75.04,0,0,96.29,100,51.58,19.3,19.74,19.02,37.7,35.63,35.35,42.42,44.05,45.06,15.47,18.29,20.33,0.94,1.25,1.33,68.47,23.76,17.15,47.756919,8.144628,4181825,2739890,97.04,748.58,97.31,1031.38,745.28,851.37,1017.36,1260.31,1446.83
DE110280,3.7,-0.04,0.07,17.78,1.16,216.48,3.82,0,49.3,48.99,1.72,0,8.61,0,40.37,7.41,7.4,0,0,0,34.48,0,1.72,51.97,8.61,39.42,0,55.22,7.4,37.37,91.39,8.61,48.29,3.68,47.19,0.84,0,0,0,0,0,0,2.06,0.56,91.665,2.2,149.78,0.34,6.24,3.21,1.77,32.35,7.36,0,5.91,42.29,51.8,0,0,100,100,100,31.33,31.22,30.22,39.92,38.79,38.44,23.43,24.67,26.03,8.46,11.75,14.07,1.05,1.33,1.38,50.82,17.55,13.04,47.615191,7.903851,4163336,2724630,24.94,335.36,24.22,589.75,330.89,379.62,503.49,918.07,1131.12
DE110290,3.24,0.16,0.05,17.06,1.14,216.82,3.74,0,86.84,5.13,8.03,0,2.89,0,2.24,19.26,63.19,0,0,0,4.39,0,8.03,87.37,3.77,2.16,6.71,28.08,63.19,8.73,96.23,3.77,74.95,20,4.8,0.26,0,0,0,0,0,0,0.94,0.29,91.665,2.56,167.21,0.11,2.91,5,1.99,44.63,6.51,0,4.49,26.31,69.19,0,0,100,100,100,29.25,29.36,29.03,39.43,39.17,38.33,27.55,27.7,28.87,9.68,12.66,14.58,1.11,1.43,1.49,46.16,15.67,11.61,47.917497,7.74034,4152039,2758571,43.11,246.82,46.03,509.71,245.58,285,478.13,825.73,1121.64
DE110300,4.01,0.05,0.1,16.35,1.15,208.13,3.67,0,96.82,2.01,1.18,0,0,2.01,0,23.14,65.49,0,0,0,8.18,0,1.18,96.82,3.18,0,0,4,65.49,30.5,96.82,3.18,96,3.18,0,0,0.82,0,0,0,0,0,2.23,0.56,100,2.04,161.07,0.42,6.64,2.38,1.61,22.74,7.3,0,2.06,29.7,68.24,0,0,100,100,100,26.76,26.51,26.14,38.67,38.08,38.18,34.15,34.98,35.26,13.63,16.31,18.23,1,1.33,1.41,67.28,27.22,20.9,47.860491,7.759964,4153319,2752194,66.03,336.31,66.26,800.24,337.65,447.67,780.92,1174.78,1412.87
DE110310,3.73,-0.05,0.07,15.15,1.2,205.18,3.69,1,88.15,2.51,9.34,0,1.02,1.48,0.02,23.48,36.9,0,0,0,27.77,0,9.34,96.39,2.71,0.9,0,31.54,36.9,31.56,97.29,2.71,93.92,4.15,1.73,0.18,0.01,0,0,0,0,0,2.01,0.54,100,2.28,147.01,0.37,5.95,3.67,1.92,23.52,6.29,0,3.65,22.63,73.66,0,0.06,100,100,100,26.6,26.62,26.1,41.01,40.16,39.54,29.93,30.76,31.9,16.11,19.83,22.33,1.04,1.4,1.49,57.62,22.72,17.15,48.391708,8.032565,4175251,2810634,955.05,172.48,957.44,604.81,170.79,265,615.67,916.11,1103.15
DE110320,4.34,-0.11,0.09,15.88,1.24,203.58,3.74,0,88.06,0,11.94,0,0,0,0,27.36,51.17,0,0,0,9.53,0,11.94,99.96,0.04,0,0,38.69,51.17,10.14,99.96,0.04,97.08,2.92,0,0,0,0,0,0,0,0,2.82,0.65,100,2.23,143.38,0.41,8.93,5.58,1.94,36.16,8.46,0,0.78,8.69,90.52,0,0,100,100,100,25.14,24.19,23.83,39.33,38.65,37.41,34.94,36.58,38.16,18.54,22.68,25.06,0.97,1.36,1.46,65.58,26,20.13,48.305973,8.219191,4188849,2800756,126.3,265.17,126.79,655.69,264.33,388.65,659.55,901.89,979.03
DE110330,4.16,-0.11,0.11,15.41,1.21,190.74,3.69,0,98.31,0,1.69,0,0,0,0,10.03,5.64,0,0,0,82.64,0,1.69,100,0,0,0,4.73,5.64,89.63,100,0,98.93,1.07,0,0,0,0,0,0,0,0,2.37,0.57,94.286,2.39,148.52,0.36,7.54,4.98,2.25,35.25,7.97,0,3.18,25.95,70.86,0,0,86.33,100,100,25.49,25.75,25.13,40.05,39.37,39.14,33.16,33.59,34.44,17.94,21,23.58,1.01,1.39,1.48,61.51,24.5,18.56,48.240424,8.212973,4188216,2793484,145.51,307.66,145.48,793.3,303.86,468.76,815.65,1019.89,1103.15
DE110340,4.92,-0.06,0.08,15.94,1.19,201.01,3.58,0,97.02,0,2.98,0,0,0,0,18.8,3.5,0,0,0,74.72,0,2.98,100,0,0,0,13.34,3.5,83.16,100,0,99.98,0.02,0,0,0,0,0,0,0,0,3.11,0.63,70.24,2.1,155,0.57,8.38,1.94,1.58,22.12,7.98,0,2.9,19.61,77.49,0,0,96.29,0,100,25.98,25.48,25.37,39.91,38.2,36.52,33.03,35.24,37.03,17.49,21.77,24.23,0.98,1.3,1.38,68.75,31.24,25.78,48.584374,8.125902,4182696,2831865,52.91,231.93,53,642.06,232.33,335.45,622.34,1017.19,1163.8
DE110350,2.45,0.15,0.09,16.83,1.16,222.46,3.85,0,59.46,14.41,26.13,0,0.19,0.05,14.17,50.84,0,5.96,0,0,2.66,0,26.13,57.7,3.33,38.96,0,100,0,0,96.67,3.33,23.95,35.34,26.45,14.26,0,0,0,0,0,0,0.94,0.39,94.524,2.14,156.42,0.2,2.9,5.63,1.63,11.43,4.48,0,13.11,51.72,35.04,0.13,0,100,100,100,30.17,31.01,31.52,44.44,43.47,42.5,16.31,16.44,16.9,13.36,18.11,20.33,1.1,1.34,1.38,35.76,10.98,8.2,48.16836,8.631586,4219171,2784811,451.55,551.55,458.75,707.45,550.19,613.34,702.3,813.93,1030.19
DE110360,2.46,0.15,0.09,16.19,1.16,219.13,3.85,1,57.39,15.92,26.69,0,0.12,0.36,15.42,47.01,0,5.77,0,0.02,4.61,0,26.69,59.11,2.92,37.97,0,100,0,0,97.08,2.92,16.79,43.37,24.2,15.64,0,0,0,0,0,0,0.95,0.38,99.855,1.96,158.79,0.22,2.75,4.16,1.62,7,6.43,0,11.33,51.26,37.32,0.08,0,99.65,100,100,32.3,33.46,34.09,44.81,43.61,42.58,15.09,15.14,15.53,13.84,18.77,20.94,1.11,1.36,1.41,36.54,11.08,8.21,48.289864,8.577901,4215430,2798389,690.48,464.04,698.25,691.09,462.19,574.88,687.4,828.33,1030.19
DE110370,2.62,0.06,0.09,16.04,1.17,217.6,3.82,1,47.57,23.45,28.98,0,0.08,0.85,22.51,41.12,0,3.59,0,0.01,2.86,0,28.98,50.86,2.52,46.62,0,100,0,0,97.48,2.52,17.82,34.18,32.91,15.08,0,0,0,0,0,0,1.12,0.43,100,1.9,154.75,0.26,3.28,3.99,1.74,8.78,5.61,0,10.61,52.37,36.97,0.05,0,100,100,100,31.79,33.07,33.5,44.68,43.37,42.42,16.24,16.27,16.8,13.64,18.78,20.86,1.11,1.38,1.43,38.2,12.68,9.48,48.445978,8.70628,4225256,2815563,1113.7,384.16,1123.61,659.16,382.44,505.25,665.87,792.6,1030.19
DE110380,3.52,-0.19,0.09,16.87,1.26,213.98,3.8,1,73.57,0.08,26.35,0,0.08,0,0,73.57,0,0,0,0,0,0,26.35,99.66,0.08,0.26,0,100,0,0,99.92,0.08,99.66,0,0.34,0,0,0,0,0,0,0,1.65,0.47,55.245,1.96,143.29,0.49,4.77,4.03,3.12,0.05,2,0,2.82,20.68,76.1,0,0.39,60.41,0,100,25.31,24.11,23.78,38.01,37.8,36.49,34.81,36.21,37.85,16.06,22.08,24.03,0.99,1.4,1.5,56.49,20.2,14.59,48.58481,8.609757,4218398,2831123,135.02,444.52,135.02,690.33,441.25,548.61,690.24,828.39,908.97
DE110390,2.03,0.24,0.06,18.35,1.17,238.69,4.17,0,32.57,16.59,50.84,0,0,0.73,15.86,32.57,0,0,0,0,0,0,50.84,52.62,0.73,46.64,0,100,0,0,99.27,0.73,2.1,49.47,15.86,32.57,0,0,0,0,0,0,0.61,0.3,95.479,1.25,186.39,0.22,1.2,0.18,1.2,0.59,1.62,0,15.67,73.71,10.62,0,0,100,100,84.93,28.11,29.46,29.98,43.83,41.85,40.48,14.83,15.47,16.31,10.6,14.64,16.83,1.16,1.31,1.34,22.23,5.75,4.49,48.526276,8.964199,4244465,2824187,133.78,349.99,133.15,459.64,348.43,382.94,452.21,559.7,614.28
